slice,scope,deltaLogloss,n
both-top-50,full 2010-2026,0.0002650292855359534,10055
clay,full 2010-2026,0.00021788211513963006,11595
date_basis:event_start,full 2010-2026,0.00034970784474017933,534
date_basis:played_date,full 2010-2026,0.0006897187824390714,233
date_basis:unknown,full 2010-2026,0.00027651267212465625,41655
grass,full 2010-2026,0.0008460706613661862,4288
hard,full 2010-2026,0.0002152036512969554,26539
inactive-120d,full 2010-2026,0.0006507981726031938,4403
low-main-experience,full 2010-2026,0.0001981704334912832,12685
no-prior-serve-evidence,full 2010-2026,0.00027230821019760316,2683
outside-top-50,full 2010-2026,0.00029325891690940676,31136
selected-wta-lower,full 2010-2026,0.0001981704334912832,12685
source_kind:fresh,full 2010-2026,0.00039260907345651527,404
source_kind:historical,full 2010-2026,0.00026290355491103264,36850
source_kind:live,full 2010-2026,0.004040709994814461,7
source_kind:lower,full 2010-2026,,0
source_kind:stats,full 2010-2026,0.0004135295665795891,4914
tour:atp,full 2010-2026,,0
tour:wta,full 2010-2026,0.00027970354586658144,42422
