year,deltaLogloss,n,naiveSE
2010,0.00023972736282254403,2702,0.0003026160206663136
2011,-0.0001299702729509264,2702,0.00034421874556036516
2012,0.00014629614697739322,2808,0.0003388719145204091
2013,0.0010238120942650415,2633,0.0004134586917687858
2014,0.000634648670984723,2611,0.0003684907504491941
2015,-8.388353161685549e-05,2547,0.00032535411938330064
2016,0.0008789260866433096,2812,0.0002766170293700768
2017,-0.0005517234683217422,2708,0.0003266849353927585
2018,0.00041173009376941293,2746,0.0003096368057002132
2019,0.0004595711152570479,2525,0.0002902219200288438
2020,0.0003506622207214993,1250,0.00048814415888826656
2021,0.00020365419866186194,2485,0.00032551553040462757
2022,0.00010980282770903876,2478,0.0003598251469949165
2023,-7.036089093921642e-05,2719,0.000283388964578041
2024,0.0007576481639567876,2303,0.00031936401682028907
2025,-0.00030265260357105944,2402,0.0003320000748333262
2026,0.0008576219674346668,1991,0.00031959780660359096
