tour,year,draw_level,observed,completed,has_stats,valid_stats,completed_valid_stats
atp,2023,chall,5684,5470,5582,5582,5391
atp,2023,main,2993,2895,2812,2812,2738
atp,2023,qual,1354,1320,1351,1351,1320
atp,2024,chall,6027,5788,5949,5947,5744
atp,2024,main,3157,3037,3096,3096,2998
atp,2024,qual,1354,1324,1353,1353,1324
atp,2025,chall,6305,6035,6234,6234,5993
atp,2025,main,2938,2809,2664,2664,2562
atp,2025,qual,1261,1214,1259,1259,1214
atp,2026,chall,5259,5026,5239,5239,5025
atp,2026,main,2252,2187,2120,2120,2066
atp,2026,qual,897,877,894,894,877
wta,2023,chall,890,890,890,890,890
wta,2023,main,2819,2719,2581,2580,2507
wta,2023,qual,1089,1089,1089,1089,1089
wta,2024,chall,1048,1048,1048,1048,1048
wta,2024,main,2121,2078,2109,2109,2077
wta,2024,qual,1092,1092,1092,1092,1092
wta,2025,chall,1434,1434,1434,1434,1434
wta,2025,main,2492,2402,2007,2006,2002
wta,2025,qual,1275,1275,1275,1275,1275
wta,2026,chall,1083,1083,1083,1083,1083
wta,2026,main,2055,1991,1986,1986,1980
wta,2026,qual,1457,1457,1457,1456,1456
