tour,window,n,acc,logloss,brier
atp,full,46195,0.6921203593462496,0.5739541815713326,0.19633407770587089
atp,tune,28357,0.7041118595055894,0.562589485710041,0.1913635518155743
atp,validation,17838,0.6730575176589304,0.59202059487656,0.20423570359841156
atp,2010,2907,0.7093223254213966,0.5604591199966459,0.1901399137455506
atp,2011,2889,0.7305295950155763,0.54515233464645,0.1840612421167266
atp,2012,2982,0.721998658618377,0.5352733677150572,0.18011584481778187
atp,2013,2766,0.7075198843094722,0.5536080360647471,0.18790421867075696
atp,2014,2748,0.7077874818049491,0.5554338958598781,0.1881854710793681
atp,2015,2833,0.723967525591246,0.5458954639374923,0.1847043132237854
atp,2016,2854,0.7151366503153469,0.5559143856511863,0.1881212058284588
atp,2017,2812,0.689900426742532,0.5793475324112861,0.19784656868966685
atp,2018,2925,0.6666666666666666,0.598531624065391,0.206558082994962
atp,2019,2641,0.6652783036728512,0.5991749966059237,0.20724430282909737
atp,2020,1433,0.6852756454989533,0.5838495917975531,0.20132163705625666
atp,2021,2649,0.6738391845979615,0.5903799203180861,0.2036826617976133
atp,2022,2828,0.6760961810466761,0.5792792108190045,0.19861323828253932
atp,2023,2895,0.664594127806563,0.599252908213913,0.20758154269793969
atp,2024,3037,0.6733618702667106,0.5880735382135847,0.20251565572599564
atp,2025,2809,0.6774652901388395,0.6007167752972552,0.20768384832575304
atp,2026,2187,0.6652949245541838,0.600575657338594,0.20761610581825649
wta,full,42197,0.6764817404080858,0.593585975687277,0.20440310333290435
wta,tune,26794,0.6794058371277152,0.5907120326873051,0.20308082956174472
wta,validation,15403,0.6713951827566058,0.5985852893756005,0.20670323989230527
wta,2010,2702,0.7020725388601037,0.5720153173656297,0.1947705561139703
wta,2011,2702,0.694300518134715,0.580696392397068,0.1984089160714074
wta,2012,2808,0.698005698005698,0.5693149443499922,0.19417122951575477
wta,2013,2633,0.6916065324724648,0.5689547049214593,0.19451694749766943
wta,2014,2611,0.684029107621601,0.5939296559050466,0.20364462624673418
wta,2015,2547,0.6584216725559482,0.6047059499889865,0.20937186553381582
wta,2016,2812,0.6699857752489331,0.60218430319542,0.20790288345934083
wta,2017,2708,0.6610044313146234,0.6092026127318338,0.21112933634893336
wta,2018,2746,0.6598689002184996,0.6073849404024353,0.21057661428839047
wta,2019,2525,0.6736633663366337,0.5997380965756137,0.20672874597605723
wta,2020,1250,0.6712,0.5946202141391533,0.20529718145337164
wta,2021,2485,0.6857142857142857,0.5912106788653229,0.20285466680273942
wta,2022,2478,0.6610169491525424,0.6026158871883642,0.20865071397651674
wta,2023,2719,0.6802133137182788,0.5932755421213699,0.20468573365234932
wta,2024,2078,0.6487006737247353,0.6122818941089496,0.2129453910856214
wta,2025,2402,0.6727726894254787,0.6071546321414961,0.2100098860781789
wta,2026,1991,0.676544450025113,0.5878803805901872,0.20221669119507915
