window,slice,n,acc,logloss,brier,tour
full,all,46195,0.6921203593462496,0.5739541815713326,0.19633407770587089,atp
full,tour:atp,46195,0.6921203593462496,0.5739541815713326,0.19633407770587089,atp
full,tour:wta,0,,,,atp
full,source_kind:historical,44066,0.6931761448735987,0.5728656757511569,0.19587721586752393,atp
full,source_kind:stats,1933,0.6663217796171754,0.5961038128746938,0.2061172827036767,atp
full,source_kind:fresh,82,0.6829268292682927,0.6083710801884641,0.20920285014826565,atp
full,source_kind:live,114,0.7280701754385965,0.5943811506578048,0.19778933356167927,atp
full,source_kind:lower,0,,,,atp
full,date_basis:played_date,249,0.6586345381526104,0.6259074261454293,0.21542765613579284,atp
full,date_basis:event_start,97,0.7319587628865979,0.6004075822060715,0.20616905826367707,atp
full,date_basis:unknown,45849,0.6922179327793408,0.5736160643220901,0.19620957566344555,atp
full,hard,26959,0.6936644534292815,0.5720644676112503,0.1955098079696767,atp
full,clay,14297,0.6876967195915227,0.5770617005017835,0.1979130078845084,atp
full,grass,4939,0.6964972666531687,0.57527359855882,0.19626271165081477,atp
full,low-main-experience,3089,0.7741987698284234,0.48830656137437495,0.15972178871812137,atp
full,both-top-50,11155,0.6872254594352308,0.5767350213542163,0.1973632479357039,atp
full,outside-top-50,34722,0.6931628362421519,0.5734103279311996,0.19616483274302948,atp
full,missing-rank,1039,0.7820019249278152,0.4923996970248318,0.16083763201837045,atp
full,inactive-120d,1729,0.7724117987275883,0.4766588398610568,0.1564849287161437,atp
full,no-prior-serve-evidence,951,0.788117770767613,0.47749939306302597,0.15509442867014067,atp
tune,all,28357,0.7041118595055894,0.562589485710041,0.1913635518155743,atp
tune,tour:atp,28357,0.7041118595055894,0.562589485710041,0.1913635518155743,atp
tune,tour:wta,0,,,,atp
tune,source_kind:historical,28357,0.7041118595055894,0.562589485710041,0.1913635518155743,atp
tune,source_kind:stats,0,,,,atp
tune,source_kind:fresh,0,,,,atp
tune,source_kind:live,0,,,,atp
tune,source_kind:lower,0,,,,atp
tune,date_basis:played_date,0,,,,atp
tune,date_basis:event_start,0,,,,atp
tune,date_basis:unknown,28357,0.7041118595055894,0.562589485710041,0.1913635518155743,atp
tune,hard,16341,0.7056789670154825,0.560658027776633,0.19048664283777972,atp
tune,clay,8912,0.6995062836624776,0.5651219366850823,0.19286796651697372,atp
tune,grass,3104,0.7090850515463918,0.5654866348724933,0.19166066063879253,atp
tune,low-main-experience,2007,0.784504235176881,0.47552096636066254,0.15448001335811534,atp
tune,both-top-50,7044,0.698892674616695,0.5676544855655957,0.19330597642001104,atp
tune,outside-top-50,21173,0.7053322627875124,0.5613901906140741,0.19090074790832243,atp
tune,missing-rank,647,0.7890262751159196,0.47730546341671226,0.15587042818199656,atp
tune,inactive-120d,1105,0.7832579185520362,0.46280740430726,0.15121013820481496,atp
tune,no-prior-serve-evidence,676,0.7892011834319527,0.4653214541333083,0.15124669040779498,atp
validation,all,17838,0.6730575176589304,0.59202059487656,0.20423570359841156,atp
validation,tour:atp,17838,0.6730575176589304,0.59202059487656,0.20423570359841156,atp
validation,tour:wta,0,,,,atp
validation,source_kind:historical,15709,0.673435610159781,0.5914156739048222,0.20402502741002415,atp
validation,source_kind:stats,1933,0.6663217796171754,0.5961038128746938,0.2061172827036767,atp
validation,source_kind:fresh,82,0.6829268292682927,0.6083710801884641,0.20920285014826565,atp
validation,source_kind:live,114,0.7280701754385965,0.5943811506578048,0.19778933356167927,atp
validation,source_kind:lower,0,,,,atp
validation,date_basis:played_date,249,0.6586345381526104,0.6259074261454293,0.21542765613579284,atp
validation,date_basis:event_start,97,0.7319587628865979,0.6004075822060715,0.20616905826367707,atp
validation,date_basis:unknown,17492,0.6729361994054425,0.5914917040260621,0.20406566406123236,atp
validation,hard,10618,0.6751742324354869,0.5896188689427143,0.20324041085348998,atp
validation,clay,5385,0.6681522748375116,0.5968216216038155,0.20626238739564484,atp
validation,grass,1835,0.6752043596730245,0.5918287676500231,0.2040473254607967,atp
validation,low-main-experience,1082,0.755083179297597,0.5120225402953741,0.16944474911325275,atp
validation,both-top-50,4111,0.6672342495743128,0.5922940809735409,0.20431518677212826,atp
validation,outside-top-50,13549,0.6741456934091077,0.5921941767329932,0.20439100945018515,atp
validation,missing-rank,392,0.7704081632653061,0.517312883617825,0.169036052636059,atp
validation,inactive-120d,624,0.7532051282051282,0.5011874236542386,0.16582570357995496,atp
validation,no-prior-serve-evidence,275,0.7854545454545454,0.5074349811229867,0.16455286890776133,atp
full,all,42197,0.6764817404080858,0.593585975687277,0.20440310333290435,wta
full,tour:atp,0,,,,wta
full,tour:wta,42197,0.6764817404080858,0.593585975687277,0.20440310333290435,wta
full,source_kind:historical,36849,0.6774539336209938,0.5923377148788375,0.20386225963076737,wta
full,source_kind:stats,4937,0.6672068057524813,0.6042427824514617,0.20909442368163933,wta
