year,event,match,winner,loser,winnerId,loserId,round,score,outcome,status,start,end,timestamp,estimatedStartTime,sourceLastUpdated,historicalPublicationTimeKnown,sourceFile,sourceSHA256,duplicateRecords,observedIndex,observedHasStats,observedDate,observedSource,cachedPositiveDenominators,cachedValidStats,corroboration,espnEvent,espnCompetition,espnStatus,espnScore,espnDate,espnRound,espnSourceFile,espnSourceSHA256,espnStatisticsLengths
2025,901,LS56920045,Aryna Sabalenka,Jessica Bouzas Maneiro,320760,328139,R64,6-3 7-5,completed,present,2025-01-12,2025-01-26,2025-01-15T00:30:00+00:00,True,,False,data/raw/wta/stats/_httpcache/2025/d2bb3c8d24376a9665d85c01ab89399fd89e6c10723adeec0aee26e7995c7642.json,59d4380ce7c1d8f18cbf18de34bc6bed1f53860e654c5df8634e6a9dd32fb229,1,136494.0,False,2025-01-15,fresh,False,False,corroborated,154-2025,152987,STATUS_FINAL,6-3 7-5,2025-01-15T00:40Z,R64,/Users/varma/Projects/DEUCE/.research/2026-09-06-model-foundation/runs/phase4/staging/espn-pilot-002/20250116.json,b1bc98dad62616488f3bdabe857b2803f197916522b972d58c66b6a5af672ac3,"[0, 0]"
2025,901,LS56920047,Magdalena Frech,Anna Blinkova,320277,324267,R64,0-6 6-0 6-2,completed,present,2025-01-12,2025-01-26,2025-01-15T00:40:00+00:00,True,,False,data/raw/wta/stats/_httpcache/2025/d2bb3c8d24376a9665d85c01ab89399fd89e6c10723adeec0aee26e7995c7642.json,59d4380ce7c1d8f18cbf18de34bc6bed1f53860e654c5df8634e6a9dd32fb229,1,136496.0,False,2025-01-15,fresh,False,False,corroborated,154-2025,152964,STATUS_FINAL,0-6 6-0 6-2,2025-01-15T00:40Z,R64,/Users/varma/Projects/DEUCE/.research/2026-09-06-model-foundation/runs/phase4/staging/espn-pilot-002/20250116.json,b1bc98dad62616488f3bdabe857b2803f197916522b972d58c66b6a5af672ac3,"[0, 0]"
2025,901,LS56920049,Clara Tauson,Tatjana Maria,327793,310440,R64,6-2 6-2,completed,present,2025-01-12,2025-01-26,2025-01-15T00:30:00+00:00,True,,False,data/raw/wta/stats/_httpcache/2025/d2bb3c8d24376a9665d85c01ab89399fd89e6c10723adeec0aee26e7995c7642.json,59d4380ce7c1d8f18cbf18de34bc6bed1f53860e654c5df8634e6a9dd32fb229,1,136495.0,False,2025-01-15,fresh,False,False,corroborated,154-2025,152974,STATUS_FINAL,6-2 6-2,2025-01-15T00:40Z,R64,/Users/varma/Projects/DEUCE/.research/2026-09-06-model-foundation/runs/phase4/staging/espn-pilot-002/20250116.json,b1bc98dad62616488f3bdabe857b2803f197916522b972d58c66b6a5af672ac3,"[0, 0]"
2025,901,LS56920051,Diana Shnaider,Ajla Tomljanovic,330482,315232,R64,6-4 7-5,completed,present,2025-01-12,2025-01-26,2025-01-15T06:10:00+00:00,True,,False,data/raw/wta/stats/_httpcache/2025/d2bb3c8d24376a9665d85c01ab89399fd89e6c10723adeec0aee26e7995c7642.json,59d4380ce7c1d8f18cbf18de34bc6bed1f53860e654c5df8634e6a9dd32fb229,1,136502.0,False,2025-01-15,fresh,False,False,corroborated,154-2025,152958,STATUS_FINAL,6-4 7-5,2025-01-15T06:10Z,R64,/Users/varma/Projects/DEUCE/.research/2026-09-06-model-foundation/runs/phase4/staging/espn-pilot-002/20250116.json,b1bc98dad62616488f3bdabe857b2803f197916522b972d58c66b6a5af672ac3,"[0, 0]"
2025,901,LS56920053,Mirra Andreeva,Moyuka Uchijima,331809,327241,R64,6-4 3-6 7-6(8),completed,present,2025-01-12,2025-01-26,2025-01-15T00:30:00+00:00,True,,False,data/raw/wta/stats/_httpcache/2025/d2bb3c8d24376a9665d85c01ab89399fd89e6c10723adeec0aee26e7995c7642.json,59d4380ce7c1d8f18cbf18de34bc6bed1f53860e654c5df8634e6a9dd32fb229,1,136493.0,False,2025-01-15,fresh,False,False,corroborated,154-2025,152966,STATUS_FINAL,6-4 3-6 7-6,2025-01-15T00:40Z,R64,/Users/varma/Projects/DEUCE/.research/2026-09-06-model-foundation/runs/phase4/staging/espn-pilot-002/20250116.json,b1bc98dad62616488f3bdabe857b2803f197916522b972d58c66b6a5af672ac3,"[0, 0]"
2025,903,LS60690777,Yuliia Starodubtseva,Anastasia Potapova,325338,325601,R64,7-6(4) 6-2,completed,present,2025-05-25,2025-06-08,2025-05-28T12:20:00+00:00,True,,False,data/raw/wta/stats/_httpcache/2025/4738f9b3346b198434042c95df8ede97646cd2c29abfc1444b03ddd561c1e233.json,b5ec450627d82f0a1b26c57a4c9f448fa526dfbc8ca9ef0526fa2d896a4ec320,1,138260.0,False,2025-05-28,fresh,False,False,corroborated,172-2025,157204,STATUS_FINAL,7-6 6-2,2025-05-28T12:35Z,R64,/Users/varma/Projects/DEUCE/.research/2026-09-06-model-foundation/runs/phase4/staging/espn-pilot-002/20250528.json,a129c12a0460c6df2ba375a1041a73ad00610a2860d25c52a8adcaf8716447e4,"[0, 0]"
2025,903,LS60690779,Bernarda Pera,Donna Vekic,317708,318516,R64,6-2 4-6 7-6(3),completed,present,2025-05-25,2025-06-08,2025-05-28T12:25:00+00:00,True,,False,data/raw/wta/stats/_httpcache/2025/4738f9b3346b198434042c95df8ede97646cd2c29abfc1444b03ddd561c1e233.json,b5ec450627d82f0a1b26c57a4c9f448fa526dfbc8ca9ef0526fa2d896a4ec320,1,138259.0,False,2025-05-28,fresh,False,False,corroborated,172-2025,157205,STATUS_FINAL,6-2 4-6 7-6,2025-05-28T12:30Z,R64,/Users/varma/Projects/DEUCE/.research/2026-09-06-model-foundation/runs/phase4/staging/espn-pilot-002/20250528.json,a129c12a0460c6df2ba375a1041a73ad00610a2860d25c52a8adcaf8716447e4,"[0, 0]"
2025,903,LS60690781,Qinwen Zheng,Emiliana Arango,328120,324789,R64,6-2 6-3,completed,present,2025-05-25,2025-06-08,2025-05-28T09:00:00+00:00,True,,False,data/raw/wta/stats/_httpcache/2025/4738f9b3346b198434042c95df8ede97646cd2c29abfc1444b03ddd561c1e233.json,b5ec450627d82f0a1b26c57a4c9f448fa526dfbc8ca9ef0526fa2d896a4ec320,1,138254.0,False,2025-05-28,fresh,False,False,corroborated,172-2025,157198,STATUS_FINAL,6-2 6-3,2025-05-28T09:10Z,R64,/Users/varma/Projects/DEUCE/.research/2026-09-06-model-foundation/runs/phase4/staging/espn-pilot-002/20250528.json,a129c12a0460c6df2ba375a1041a73ad00610a2860d25c52a8adcaf8716447e4,"[0, 0]"
2025,903,LS60690783,Jasmine Paolini,Ajla Tomljanovic,319280,315232,R64,6-3 6-3,completed,present,2025-05-25,2025-06-08,2025-05-28T10:00:00+00:00,True,,False,data/raw/wta/stats/_httpcache/2025/4738f9b3346b198434042c95df8ede97646cd2c29abfc1444b03ddd561c1e233.json,b5ec450627d82f0a1b26c57a4c9f448fa526dfbc8ca9ef0526fa2d896a4ec320,1,138257.0,False,2025-05-28,fresh,False,False,corroborated,172-2025,157199,STATUS_FINAL,6-3 6-3,2025-05-28T10:10Z,R64,/Users/varma/Projects/DEUCE/.research/2026-09-06-model-foundation/runs/phase4/staging/espn-pilot-002/20250528.json,a129c12a0460c6df2ba375a1041a73ad00610a2860d25c52a8adcaf8716447e4,"[0, 0]"
2025,903,LS60690785,Jelena Ostapenko,Caroline Dolehide,319939,322052,R64,5-7 6-3 6-3,completed,present,2025-05-25,2025-06-08,2025-05-28T16:25:00+00:00,True,,False,data/raw/wta/stats/_httpcache/2025/4738f9b3346b198434042c95df8ede97646cd2c29abfc1444b03ddd561c1e233.json,b5ec450627d82f0a1b26c57a4c9f448fa526dfbc8ca9ef0526fa2d896a4ec320,1,138266.0,False,2025-05-28,fresh,False,False,corroborated,172-2025,157206,STATUS_FINAL,5-7 6-3 6-3,2025-05-28T16:30Z,R64,/Users/varma/Projects/DEUCE/.research/2026-09-06-model-foundation/runs/phase4/staging/espn-pilot-002/20250528.json,a129c12a0460c6df2ba375a1041a73ad00610a2860d25c52a8adcaf8716447e4,"[0, 0]"
