year,event,match,winner,loser,winnerId,loserId,round,score,outcome,status,start,end,timestamp,estimatedStartTime,sourceLastUpdated,historicalPublicationTimeKnown,sourceFile,sourceSHA256,duplicateRecords,observedIndex,observedHasStats,observedDate,observedSource,cachedPositiveDenominators,cachedValidStats
2024,1003,LS001,Iga Swiatek,Elena Rybakina,326408,324166,F,7-6(8) 6-2,completed,present,2024-02-11,2024-02-17,2024-02-17T14:46:13.463+00:00,False,2024-02-17T17:31:02.06+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132698.0,True,2024-02-12,historical,False,False
2024,1003,LS003,Elena Rybakina,Anastasia Pavlyuchenkova,324166,313796,SF,6-2 6-4,completed,present,2024-02-11,2024-02-17,2024-02-16T13:50:41.033+00:00,False,2024-02-16T15:38:22.69+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132696.0,True,2024-02-12,historical,False,False
2024,1003,LS004,Iga Swiatek,Victoria Azarenka,326408,312001,QF,6-4 6-0,completed,present,2024-02-11,2024-02-17,2024-02-15T16:12:31.493+00:00,False,2024-02-15T17:45:15.163+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132695.0,True,2024-02-12,historical,False,False
2024,1003,LS005,Karolina Pliskova,Naomi Osaka,313974,319998,QF,7-6(6) 7-6(5),completed,present,2024-02-11,2024-02-17,2024-02-15T17:49:27.123+00:00,False,2024-02-15T19:47:57.943+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132694.0,True,2024-02-12,historical,False,False
2024,1003,LS006,Elena Rybakina,Leylah Fernandez,324166,326735,QF,6-4 6-2,completed,present,2024-02-11,2024-02-17,2024-02-15T14:19:36.383+00:00,False,2024-02-15T16:09:26.353+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132693.0,True,2024-02-12,historical,False,False
2024,1003,LS007,Anastasia Pavlyuchenkova,Danielle Collins,313796,316925,QF,7-5 6-4,completed,present,2024-02-11,2024-02-17,2024-02-15T12:16:18.087+00:00,False,2024-02-15T14:13:23.093+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132692.0,True,2024-02-12,historical,False,False
2024,1003,LS008,Iga Swiatek,Ekaterina Alexandrova,326408,319007,R16,6-1 6-4,completed,present,2024-02-11,2024-02-17,2024-02-14T16:44:05.773+00:00,False,2024-02-14T18:31:52.333+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132691.0,True,2024-02-12,historical,False,False
2024,1003,LS009,Victoria Azarenka,Jelena Ostapenko,312001,319939,R16,6-0 6-3,completed,present,2024-02-11,2024-02-17,2024-02-14T18:34:21.447+00:00,False,2024-02-14T20:19:32.66+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132690.0,True,2024-02-12,historical,False,False
2024,1003,LS011,Karolina Pliskova,Linda Noskova,313974,329668,R16,3-6 7-5 6-1,completed,present,2024-02-11,2024-02-17,2024-02-14T13:01:53.667+00:00,False,2024-02-14T14:59:46.533+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132688.0,True,2024-02-12,historical,False,False
2024,1003,LS012,Leylah Fernandez,Qinwen Zheng,326735,328120,R16,7-5 6-3,completed,present,2024-02-11,2024-02-17,2024-02-14T12:16:38.043+00:00,False,2024-02-14T14:12:20.61+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132687.0,True,2024-02-12,historical,False,False
2024,1003,LS013,Elena Rybakina,Emma Navarro,324166,325410,R16,6-1 6-7(6) 6-4,completed,present,2024-02-11,2024-02-17,2024-02-14T14:14:53.093+00:00,False,2024-02-14T16:41:24.73+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132686.0,True,2024-02-12,historical,False,False
2024,1003,LS014,Anastasia Pavlyuchenkova,Marketa Vondrousova,313796,323027,R16,7-5 6-3,completed,present,2024-02-11,2024-02-17,2024-02-14T10:49:44.32+00:00,False,2024-02-14T12:59:20.597+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132685.0,True,2024-02-12,historical,False,False
2024,1003,LS015,Danielle Collins,Katerina Siniakova,316925,320301,R16,6-4 6-3,completed,present,2024-02-11,2024-02-17,2024-02-14T11:47:29.223+00:00,False,2024-02-14T13:54:32.497+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132684.0,True,2024-02-12,historical,False,False
2024,1003,LS016,Iga Swiatek,Sorana Cirstea,326408,312469,R32,6-1 6-1,completed,present,2024-02-11,2024-02-17,2024-02-12T17:08:05.81+00:00,False,2024-02-12T18:26:08.647+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132683.0,True,2024-02-12,historical,False,False
2024,1003,LS017,Ekaterina Alexandrova,Erika Andreeva,319007,330151,R32,6-0 3-6 6-1,completed,present,2024-02-11,2024-02-17,2024-02-13T13:32:48.323+00:00,False,2024-02-13T15:19:08.62+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132682.0,True,2024-02-12,historical,False,False
2024,1003,LS018,Victoria Azarenka,Xinyu Wang,312001,326376,R32,7-6(2) 6-2,completed,present,2024-02-11,2024-02-17,2024-02-13T12:23:55.313+00:00,False,2024-02-13T14:21:29.98+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132700.0,True,2024-02-13,stats,False,False
2024,1003,LS019,Jelena Ostapenko,Anhelina Kalinina,319939,320567,R32,6-0 6-3,completed,present,2024-02-11,2024-02-17,2024-02-13T15:42:15.47+00:00,False,2024-02-13T16:50:08.39+00:00,False,data/raw/wta/stats/_httpcache/2024/5e9192cb152581dbfcce0f0cb26970c58f2068d00a1be90db8e1f2e401d631ff.json,f76ee4d0637c5f0d24c506606d3ca9c6a1ccfb1e2c3ee266d49f4e541ba4d94e,1,132680.0,True,2024-02-12,historical,False,False
