slice,window,n,years,meanProbabilityA,observedWinRateA,calibrationResidualA,meanFavoriteProbability,accuracy,favoriteResidual,favoriteResidualNaiveSE,logloss,brier,lossContribution
all,tune,26794,10,0.5035838876791845,0.5055982682690154,0.0020143805898309333,0.6803232824836034,0.6795924460700157,-0.000730836413587638,0.0027529366607246188,0.5906491562188603,0.20305557841342903,0.5906491562188603
all,2010,2702,1,0.5044862647670838,0.5151739452257587,0.010687680458674936,0.6949115233169953,0.7031828275351591,0.008271304218163706,0.00849058131704699,0.5721081910444517,0.19478342641831686,0.057693376584388605
all,2011,2702,1,0.48974757497701876,0.48038490007401924,-0.009362674902999557,0.6999810063783727,0.695040710584752,-0.0049402957936206734,0.008569423813864756,0.580587250224393,0.19837240770143752,0.05854843435494177
all,2012,2808,1,0.4899953054216378,0.48753561253561256,-0.002459692886025289,0.6897734041509829,0.6969373219373219,0.007163917786339094,0.008315022716587203,0.5692361933799149,0.1941261867141024,0.0596557151231918
all,2013,2633,1,0.4923705558690796,0.4891758450436764,-0.0031947108254031685,0.6966435792558479,0.6889479680972275,-0.007695611158620384,0.008599673236371971,0.5693790428865422,0.19470714999198874,0.055951892958134866
all,2014,2611,1,0.5038558577857227,0.5170432784373803,0.013187420651657558,0.6954388010578113,0.6836461126005362,-0.01179268845727504,0.008830308325065626,0.5939187263987731,0.20365210825308813,0.05787571077954753
all,2015,2547,1,0.5029261553010687,0.5072634471927758,0.00433729189170719,0.6688455103993306,0.6584216725559482,-0.01042383784338245,0.009068434732513227,0.6049483051705123,0.20948280703091696,0.05750553606289822
all,2016,2812,1,0.5134959055448908,0.5106685633001422,-0.002827342244748564,0.6634399775545903,0.6703413940256046,0.006901416471014241,0.008599487448449893,0.6022044565303308,0.20792440883037513,0.06320067670983393
all,2017,2708,1,0.5162477987319998,0.517725258493353,0.0014774597613532818,0.6671139866868441,0.6650664697193501,-0.00204751696749402,0.008825480862402677,0.6085697150575647,0.21085001973501757,0.061506560736578536
all,2018,2746,1,0.5110607409162002,0.5214857975236707,0.010425056607470581,0.6631909271140585,0.65877640203933,-0.004414525074728508,0.008757180099960736,0.6072707497557661,0.21052860609877758,0.06223652604423877
all,2019,2525,1,0.5118595952932837,0.5100990099009901,-0.0017605853922935985,0.6636973264778014,0.6744554455445545,0.010758119066753013,0.009043613691900152,0.5992807253955075,0.20654599541326396,0.056474726865106226
