slice,window,n,years,meanProbabilityA,observedWinRateA,calibrationResidualA,meanFavoriteProbability,accuracy,favoriteResidual,favoriteResidualNaiveSE,logloss,brier,lossContribution
first-recorded-appearance,tune,696,10,0.5102595381650398,0.5158045977011494,0.00554505953610963,0.7134551455161686,0.7758620689655172,0.06240692344934865,0.01538769047032496,0.514182858609153,0.16845743161173096,0.013356395819660019
first-recorded-appearance,2010,71,1,0.5068824099068393,0.5070422535211268,0.000159843614287555,0.7101926290083612,0.7183098591549296,0.00811723014656852,0.049954236356005904,0.5208150369980896,0.17474569051907154,0.001380080153275523
first-recorded-appearance,2011,90,1,0.48519790043210653,0.4888888888888889,0.0036909884567823677,0.7072665080979585,0.7777777777777778,0.0705112696798191,0.043216189196563004,0.5190781948958856,0.17119171092376867,0.0017435633925740727
first-recorded-appearance,2012,92,1,0.4805644137424196,0.43478260869565216,-0.045781805046767494,0.7106997082056319,0.8152173913043478,0.10451768309871584,0.038190375373635205,0.46121886849231,0.14364788025762734,0.0015836432000183817
first-recorded-appearance,2013,71,1,0.5018936447251582,0.4647887323943662,-0.037104912330791905,0.732644965441273,0.7183098591549296,-0.01433510628634346,0.052208377836142496,0.5582203744376838,0.19100552541193988,0.0014791985737506739
first-recorded-appearance,2014,96,1,0.5443602084361943,0.6145833333333334,0.07022312489713911,0.7226958632192589,0.78125,0.058554136780741194,0.043462756121896665,0.5587577195858509,0.182884648056727,0.0020019683914399376
first-recorded-appearance,2015,48,1,0.5589141094393381,0.4791666666666667,-0.07974744277267146,0.7093693449612054,0.7083333333333334,-0.0010360116278721003,0.06454693263172469,0.5768989541738346,0.19581747939182015,0.001033483235065465
first-recorded-appearance,2016,87,1,0.5086878921869078,0.5287356321839081,0.02004773999700043,0.7197290178343627,0.8160919540229885,0.0963629361886258,0.03955168906218316,0.4572906850944622,0.14381872073065244,0.0014848208406067855
first-recorded-appearance,2017,53,1,0.5099060150222173,0.5660377358490566,0.05613172082683931,0.7145070673170238,0.8679245283018868,0.1534174609848629,0.045975920697994194,0.4296353719072549,0.133453752104511,0.0008498423046609133
first-recorded-appearance,2018,51,1,0.5264637979371946,0.5294117647058824,0.0029479667686878345,0.6779199572366291,0.7647058823529411,0.08678592511631199,0.05856424440115258,0.5332768480986729,0.17902033291219072,0.001015045131485867
first-recorded-appearance,2019,37,1,0.4978601407190654,0.5675675675675675,0.0697074268485022,0.7188433736202237,0.7567567567567568,0.03791338313653305,0.07213243068331664,0.5682866889239915,0.18874857664706282,0.0007847505967824022
both-recorded-365plus,tune,668,10,0.5063723133107922,0.5014970059880239,-0.004875307322768344,0.722513179691874,0.7410179640718563,0.018504784379982275,0.016218750045406596,0.5282358409599416,0.17579534501954575,0.013169423817318839
both-recorded-365plus,2010,51,1,0.5963920312504627,0.6078431372549019,0.01145110600443922,0.7114629648634118,0.7254901960784313,0.014027231215019635,0.06122107071326124,0.5572205865093736,0.18759773817946634,0.0010606199116211857
both-recorded-365plus,2011,60,1,0.47461135989648856,0.45,-0.024611359896488508,0.716697495081351,0.7666666666666667,0.04996917158531577,0.05293896694087941,0.510537100943102,0.16784643713420663,0.0011432494609459624
both-recorded-365plus,2012,53,1,0.5104300003379073,0.5471698113207547,0.03673981098284747,0.7435248397741355,0.8301886792452831,0.08666383947114759,0.05030180383386866,0.45146382780763433,0.13908473745681307,0.0008930201863777197
both-recorded-365plus,2013,61,1,0.5112141037193632,0.4262295081967213,-0.08498459552264179,0.7209706343338091,0.7049180327868853,-0.01605260154692396,0.05391895275177425,0.5227421460072682,0.17469289396730817,0.001190089979340276
both-recorded-365plus,2014,53,1,0.5194072414773651,0.49056603773584906,-0.028841203741515893,0.7193091131428884,0.6792452830188679,-0.04006383012402055,0.0608674444671674,0.5621494945830384,0.1942570918743192,0.001111962499548445
both-recorded-365plus,2015,62,1,0.5167898604897866,0.4838709677419355,-0.032918892747851126,0.73107487891536,0.7419354838709677,0.01086060495560771,0.05479110879895776,0.5532350445410849,0.18324395454857462,0.001280158720666838
both-recorded-365plus,2016,77,1,0.46010965493098793,0.4805194805194805,0.02040982558849264,0.7057819883892282,0.7402597402597403,0.03447775187051214,0.04942948593258504,0.5521738045456448,0.18687754542057586,0.0015868247723376371
both-recorded-365plus,2017,107,1,0.49485928680168567,0.5327102803738317,0.037850993572146066,0.731606433756866,0.7289719626168224,-0.0026344711400434298,0.04037371813786119,0.5173580397365631,0.17279087476338664,0.002066033822938429
both-recorded-365plus,2018,76,1,0.531171699499375,0.5,-0.031171699499375045,0.733382023346537,0.6973684210526315,-0.03601360229390542,0.05147071061638171,0.58656235699204,0.19998953340183184,0.0016637582716800417
both-recorded-365plus,2019,68,1,0.4825027695760302,0.5,0.017497230423969792,0.7081199579007031,0.8088235294117647,0.10070357151106156,0.04528106925322782,0.4624747603640967,0.1475163499070296,0.001173706191862304
