experiment,tour,year,n,deltaLogloss,naiveSE,incumbentLL,candidateLL,incumbentAccuracy,candidateAccuracy,accuracyDeltaPP,incumbentBrier,candidateBrier
SIGNAL-01,wta,2010,2702,0.0002829424511048403,0.00024125142038201438,0.5721081910444517,0.5718252485933467,0.7031828275351591,0.7009622501850481,-0.22205773501110526,0.19478342641831686,0.19465535964057212
SIGNAL-01,wta,2011,2702,-0.00012284673015412813,0.00026239695166206146,0.580587250224393,0.580710096954547,0.695040710584752,0.692820133234641,-0.22205773501110526,0.19837240770143752,0.19842795619620626
SIGNAL-01,wta,2012,2808,0.0005187882049100084,0.000380494654016811,0.5692361933799149,0.568717405175005,0.6969373219373219,0.6997863247863247,0.2849002849002802,0.1941261867141024,0.19390046326603919
SIGNAL-01,wta,2013,2633,0.001558300121216199,0.00047678875721695696,0.5693790428865422,0.567820742765326,0.6889479680972275,0.6919863273832131,0.30383592859856146,0.19470714999198874,0.19400339009084142
SIGNAL-01,wta,2014,2611,-0.0002067259060195293,0.0004968739477231509,0.5939187263987731,0.5941254523047926,0.6836461126005362,0.6836461126005362,0.0,0.20365210825308813,0.20373184741264994
SIGNAL-01,wta,2015,2547,-0.0002924198821203377,0.00036932445149952134,0.6049483051705123,0.6052407250526326,0.6584216725559482,0.6564585787200629,-0.19630938358853323,0.20948280703091696,0.20967549504790645
SIGNAL-01,wta,2016,2812,0.0007670047371372416,0.00027167476499655093,0.6022044565303308,0.6014374517931936,0.6703413940256046,0.670697012802276,0.035561877667145136,0.20792440883037513,0.20758313704962247
SIGNAL-01,wta,2017,2708,-0.0006457950087045673,0.0003868303685917115,0.6085697150575647,0.6092155100662693,0.6650664697193501,0.6632200886262924,-0.18463810930576807,0.21085001973501757,0.21115736289784148
SIGNAL-01,wta,2018,2746,-0.00020711415374061328,0.0003414150826051161,0.6072707497557661,0.6074778639095066,0.65877640203933,0.65877640203933,0.0,0.21052860609877758,0.2106225858611588
SIGNAL-01,wta,2019,2525,0.0006454163662889937,0.00031731419109052363,0.5992807253955075,0.5986353090292185,0.6744554455445545,0.6736633663366337,-0.07920792079207928,0.20654599541326396,0.20627392940213987
SIGNAL-02,wta,2010,2702,5.889591134606032e-05,0.000599291732186787,0.5721081910444517,0.5720492951331055,0.7031828275351591,0.7050333086602517,0.18504811250925624,0.19478342641831686,0.19473322633539483
SIGNAL-02,wta,2011,2702,-2.2999080975600172e-05,0.0006416395458675592,0.580587250224393,0.5806102493053685,0.695040710584752,0.6909696521095485,-0.4071058475203504,0.19837240770143752,0.19847105748753766
SIGNAL-02,wta,2012,2808,0.0007794465315323369,0.0006743403537383607,0.5692361933799149,0.5684567468483825,0.6969373219373219,0.6976495726495726,0.07122507122506727,0.1941261867141024,0.19368648403050964
SIGNAL-02,wta,2013,2633,0.0011726965969199553,0.0007127973574267523,0.5693790428865422,0.5682063462896223,0.6889479680972275,0.6935055070262058,0.45575389289783663,0.19470714999198874,0.1942515392714847
SIGNAL-02,wta,2014,2611,0.0008975177166179379,0.000802165448837832,0.5939187263987731,0.5930212086821552,0.6836461126005362,0.679816162389889,-0.3829950210647248,0.20365210825308813,0.2032857695646474
SIGNAL-02,wta,2015,2547,0.0009816033990838206,0.0006703172136672153,0.6049483051705123,0.6039667017714284,0.6584216725559482,0.6592069100903023,0.07852375343541107,0.20948280703091696,0.20900956785364103
