window,n,incumbent_logloss,candidate_logloss,logloss_improvement,paired_se,incumbent_accuracy,candidate_accuracy,accuracy_change_pp,incumbent_brier,candidate_brier
2010,2702,0.5721081910444517,0.5720492951331055,0.00005889591134606032,0.000599291732186787,0.7031828275351591,0.7050333086602517,0.18504811250925624,0.19478342641831686,0.19473322633539483
2011,2702,0.580587250224393,0.5806102493053685,-0.000022999080975600172,0.0006416395458675592,0.695040710584752,0.6909696521095485,-0.4071058475203504,0.19837240770143752,0.19847105748753766
2012,2808,0.5692361933799149,0.5684567468483825,0.0007794465315323369,0.0006743403537383607,0.6969373219373219,0.6976495726495726,0.07122507122506727,0.1941261867141024,0.19368648403050964
2013,2633,0.5693790428865422,0.5682063462896223,0.0011726965969199553,0.0007127973574267523,0.6889479680972275,0.6935055070262058,0.45575389289783663,0.19470714999198874,0.1942515392714847
2014,2611,0.5939187263987731,0.5930212086821552,0.0008975177166179379,0.000802165448837832,0.6836461126005362,0.679816162389889,-0.3829950210647248,0.20365210825308813,0.2032857695646474
2015,2547,0.6049483051705123,0.6039667017714284,0.0009816033990838206,0.0006703172136672153,0.6584216725559482,0.6592069100903023,0.07852375343541107,0.20948280703091696,0.20900956785364103
2016,2812,0.6022165504972775,0.6019657072024954,0.0002508432947821133,0.0005934296612726279,0.670697012802276,0.6703413940256046,-0.035561877667145136,0.20793109028618253,0.2078392050518605
2017,2708,0.6088146975547524,0.6092335902203055,-0.00041889266555318085,0.0006376747743481858,0.6665435745937962,0.6632200886262924,-0.33234859675037587,0.21095488296216933,0.21114245207595805
2018,2746,0.6073596820119512,0.6051383866393617,0.0022212953725894787,0.0006238005119591732,0.6584122359796067,0.6598689002184996,0.1456664238892902,0.2105662082866058,0.20953345005935853
2019,2525,0.5993737281633309,0.5970710989317807,0.0023026292315502573,0.0006372766288092088,0.6748514851485149,0.6744554455445545,-0.03960396039603964,0.20659293675611493,0.20549207036687356
2020,1250,0.5948844265897633,0.5945563600682056,0.0003280665215577504,0.0010002305948008743,0.6688,0.6632,-0.5599999999999938,0.20542604871076336,0.20531352055319294
2021,2485,0.5909938243485331,0.589643623255813,0.0013502010927201186,0.0007723115772950726,0.6861167002012073,0.689738430583501,0.3621730382293742,0.20273559924426818,0.20219807640855875
2022,2478,0.6023407831456672,0.60235848363255,-0.000017700486882864277,0.0009008659998775581,0.6658595641646489,0.6610169491525424,-0.4842615012106477,0.20851675316800952,0.2085190602449431
2023,2719,0.5932002243941953,0.5929527221164754,0.0002475022777199329,0.0007534771321453841,0.6794777491724899,0.6765354909893343,-0.29422581831556327,0.20469164635381068,0.20455642189340167
2024,2303,0.6025528763379457,0.6027832499509995,-0.0002303736130537604,0.0008767290146533208,0.6556665219279201,0.657837603126357,0.21710811984368972,0.2087140079222595,0.2087901239344377
2025,2402,0.6068213589283279,0.6059504327098556,0.0008709262184721742,0.0008146539625151232,0.670691090757702,0.670691090757702,0,0.20990256027879492,0.20959715932264603
2026,1995,0.5854890413156112,0.5840755496685112,0.0014134916470999836,0.000847912616534912,0.6822055137844611,0.6877192982456141,0.5513784461152915,0.2012206200036489,0.2006402820418527
tune,26794,0.5906930638400321,0.5898831146812333,0.0008099491587987741,0.0002089245312031132,0.6797790550123162,0.6795178024930955,-0.026125251922071158,0.20307515519820668,0.20270823225246146
validation,15632,0.5969198997750043,0.5963585026450238,0.0005613971299803775,0.0003210747185088383,0.6730104912998977,0.6728825486182191,-0.012794268167859446,0.20599610240140148,0.2057687217099149
firstHalf,13456,0.5769095665774883,0.5763360820357237,0.0005734845417645261,0.00030749679879106756,0.6936682520808561,0.6935196195005945,-0.014863258026165393,0.19707290254626156,0.19683063832359904
secondHalf,13338,0.6045985023739044,0.6035499966184036,0.0010485057555008912,0.00028268227986743535,0.6657669815564552,0.6653921127605338,-0.03748687959214125,0.2091305092006489,0.20863782468811695
