event_ticker,tour,season,occurrence_utc,match_date,event,round,surface,tier,best_of,player_a,player_b,rank_a,rank_b,rank_src,ticker_a,ticker_b,mid_a,mid_b,p_kalshi,p_kalshi_t30,spread_max,price_ts,price_kind,volume_total,oi_total,liquidity,p_model,pred_source,model_version,model_as_of,match_status,result_type,winner,a_won,result_date,kalshi_result_a
KXATPMATCH-26MAY03SINZVE,atp,2026,2026-05-03T18:00:00Z,2026-05-03,Madrid Masters,F,Clay,masters,3,Alexander Zverev,Jannik Sinner,3,1,results,KXATPMATCH-26MAY03SINZVE-ZVE,KXATPMATCH-26MAY03SINZVE-SIN,0.1750,0.8250,0.1750,0.1750,0.0100,2026-05-03T07:55:00Z,candle,3646939.20,2854765.32,0.00,0.2321,backtest,0.1.0,2026-07-07,matched,completed,Jannik Sinner,0,2026-05-03,no
KXATPMATCH-26MAY04BONNAV,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Emilio Nava,Federico Bondioli,108,344,results,KXATPMATCH-26MAY04BONNAV-NAV,KXATPMATCH-26MAY04BONNAV-BON,,,,,,,none,2354932.29,1263364.20,0.00,,,,,matched,completed,Federico Bondioli,0,2026-05-05,no
KXATPMATCH-26MAY04BONSVR,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Benjamin Bonzi,Dalibor Svrcina,101,116,results,KXATPMATCH-26MAY04BONSVR-BON,KXATPMATCH-26MAY04BONSVR-SVR,,,,,,,none,1079214.17,606195.64,0.00,,,,,matched,completed,Dalibor Svrcina,0,2026-05-05,no
KXATPMATCH-26MAY04BUDVIR,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Nicolai Budkov Kjaer,Otto Virtanen,124,127,results,KXATPMATCH-26MAY04BUDVIR-BUD,KXATPMATCH-26MAY04BUDVIR-VIR,,,,,,,none,1649477.25,853934.96,0.00,,,,,matched,completed,Nicolai Budkov Kjaer,1,2026-05-05,yes
KXATPMATCH-26MAY04CARDAM,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Martin Damm,Pablo Carreno Busta,115,91,results,KXATPMATCH-26MAY04CARDAM-DAM,KXATPMATCH-26MAY04CARDAM-CAR,,,,,,,none,243813.62,162655.24,0.00,,,,,matched,completed,Pablo Carreno Busta,0,2026-05-05,no
KXATPMATCH-26MAY04COMHAR,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Billy Harris,Francisco Comesana,148,114,results,KXATPMATCH-26MAY04COMHAR-HAR,KXATPMATCH-26MAY04COMHAR-COM,,,,,,,none,194595.33,121127.40,0.00,,,,,matched,completed,Francisco Comesana,0,2026-05-05,no
KXATPMATCH-26MAY04GARECH,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Cristian Garin,Moez Echargui,104,140,results,KXATPMATCH-26MAY04GARECH-GAR,KXATPMATCH-26MAY04GARECH-ECH,0.5000,0.5000,0.5000,0.5000,1.0000,2026-05-05T04:00:00Z,candle,112319.44,80630.89,0.00,,,,,matched,completed,Cristian Garin,1,2026-05-05,yes
KXATPMATCH-26MAY04HIJBAS,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Pierluigi Basile,Rinky Hijikata,677,96,results,KXATPMATCH-26MAY04HIJBAS-BAS,KXATPMATCH-26MAY04HIJBAS-HIJ,0.5000,0.5000,0.5000,0.5000,1.0000,2026-05-05T04:00:00Z,candle,5707597.97,2116002.52,0.00,,,,,matched,completed,Rinky Hijikata,0,2026-05-05,no
KXATPMATCH-26MAY04KOVCAR,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Aleksandar Kovacevic,Lorenzo Carboni,95,452,results,KXATPMATCH-26MAY04KOVCAR-KOV,KXATPMATCH-26MAY04KOVCAR-CAR,,,,,,,none,314921.39,195976.52,0.00,,,,,matched,completed,Aleksandar Kovacevic,1,2026-05-05,yes
KXATPMATCH-26MAY04KYPPIN,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Jack Pinnington Jones,Patrick Kypson,137,89,results,KXATPMATCH-26MAY04KYPPIN-PIN,KXATPMATCH-26MAY04KYPPIN-KYP,,,,,,,none,1810722.93,906346.29,0.00,,,,,matched,completed,Patrick Kypson,0,2026-05-05,no
KXATPMATCH-26MAY04LAJCHO,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Dusan Lajovic,Jan Choinski,132,122,results,KXATPMATCH-26MAY04LAJCHO-LAJ,KXATPMATCH-26MAY04LAJCHO-CHO,,,,,,,none,285824.70,183796.36,0.00,,,,,matched,completed,Jan Choinski,0,2026-05-05,no
KXATPMATCH-26MAY04LANOCO,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Christopher O'Connell,Martin Landaluce,150,94,results,KXATPMATCH-26MAY04LANOCO-OCO,KXATPMATCH-26MAY04LANOCO-LAN,,,,,,,none,643732.33,414597.95,0.00,,,,,matched,completed,Martin Landaluce,0,2026-05-05,no
KXATPMATCH-26MAY04MARDEJ,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Jesper de Jong,Pedro Martinez,102,136,results,KXATPMATCH-26MAY04MARDEJ-DEJ,KXATPMATCH-26MAY04MARDEJ-MAR,,,,,,,none,768746.73,444547.41,0.00,,,,,matched,completed,Jesper de Jong,1,2026-05-05,yes
KXATPMATCH-26MAY04MARDRO,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Juan Cruz Martin Manzano,Titouan Droguet,514,109,results,KXATPMATCH-26MAY04MARDRO-MAR,KXATPMATCH-26MAY04MARDRO-DRO,,,,,,,none,733626.85,456563.07,0.00,,,,,matched,completed,Titouan Droguet,0,2026-05-05,no
KXATPMATCH-26MAY04MERMCD,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Daniel Merida,Mackenzie McDonald,86,129,results,KXATPMATCH-26MAY04MERMCD-MER,KXATPMATCH-26MAY04MERMCD-MCD,,,,,,,none,274807.20,151209.75,0.00,,,,,matched,completed,Daniel Merida,1,2026-05-05,yes
KXATPMATCH-26MAY04MOCFEA,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Jacob Fearnley,Shintaro Mochizuki,123,130,results,KXATPMATCH-26MAY04MOCFEA-FEA,KXATPMATCH-26MAY04MOCFEA-MOC,0.5000,0.5000,0.5000,0.5000,1.0000,2026-05-05T04:00:00Z,candle,192400.09,127812.52,0.00,,,,,matched,completed,Jacob Fearnley,1,2026-05-05,yes
KXATPMATCH-26MAY04MOLBAS,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Elmer Moller,Nikoloz Basilashvili,153,117,results,KXATPMATCH-26MAY04MOLBAS-MOL,KXATPMATCH-26MAY04MOLBAS-BAS,,,,,,,none,1737779.09,870891.11,0.00,,,,,matched,completed,Nikoloz Basilashvili,0,2026-05-05,no
KXATPMATCH-26MAY04PELGAS,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Andrea Pellegrino,Hugo Gaston,155,118,results,KXATPMATCH-26MAY04PELGAS-PEL,KXATPMATCH-26MAY04PELGAS-GAS,,,,,,,none,228015.88,167690.05,0.00,,,,,matched,completed,Andrea Pellegrino,1,2026-05-05,yes
KXATPMATCH-26MAY04PIRROC,atp,2026,2026-05-04T11:00:00Z,2026-05-04,ATP Rome Qualification,,,,,Henrique Rocha,Zsombor Piros,121,138,live,KXATPMATCH-26MAY04PIRROC-ROC,KXATPMATCH-26MAY04PIRROC-PIR,0.4750,0.5350,0.4703,0.4677,0.0100,2026-05-04T10:54:00Z,candle,6970.43,5172.73,0.00,,,,,cancelled,cancelled,,,,scalar
KXATPMATCH-26MAY04PRIROD,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Chris Rodesch,Dino Prizmic,166,79,results,KXATPMATCH-26MAY04PRIROD-ROD,KXATPMATCH-26MAY04PRIROD-PRI,,,,,,,none,420053.38,287708.17,0.00,,,,,matched,completed,Dino Prizmic,0,2026-05-05,no
KXATPMATCH-26MAY04RIEGAU,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Leandro Riedi,Vilius Gaubas,128,121,results,KXATPMATCH-26MAY04RIEGAU-RIE,KXATPMATCH-26MAY04RIEGAU-GAU,,,,,,,none,271830.58,170236.49,0.00,,,,,matched,completed,Leandro Riedi,1,2026-05-05,yes
KXATPMATCH-26MAY04TRAWAW,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Stan Wawrinka,Stefano Travaglia,125,141,results,KXATPMATCH-26MAY04TRAWAW-WAW,KXATPMATCH-26MAY04TRAWAW-TRA,,,,,,,none,1417056.65,643768.48,0.00,,,,,matched,completed,Stan Wawrinka,1,2026-05-05,yes
KXATPMATCH-26MAY04VALFAR,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Adolfo Daniel Vallejo,Jaime Faria,84,119,results,KXATPMATCH-26MAY04VALFAR-VAL,KXATPMATCH-26MAY04VALFAR-FAR,,,,,,,none,2239484.86,1092338.97,0.00,,,,,matched,completed,Jaime Faria,0,2026-05-05,no
KXATPMATCH-26MAY04VANDEL,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Hugo Dellien,Luca Van Assche,133,97,results,KXATPMATCH-26MAY04VANDEL-DEL,KXATPMATCH-26MAY04VANDEL-VAN,,,,,,,none,398584.84,246864.08,0.00,,,,,matched,completed,Hugo Dellien,1,2026-05-05,yes
KXATPMATCH-26MAY04VASBAR,atp,2026,2026-05-04T11:00:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Jacopo Vasami,Tomas Barrios Vera,464,134,results,KXATPMATCH-26MAY04VASBAR-VAS,KXATPMATCH-26MAY04VASBAR-BAR,0.5000,0.5000,0.5000,0.5000,1.0000,2026-05-05T04:00:00Z,candle,116321.10,88501.83,0.00,,,,,matched,completed,Tomas Barrios Vera,0,2026-05-05,no
KXATPMATCH-26MAY04LLAROC,atp,2026,2026-05-04T17:10:00Z,2026-05-04,Rome Masters,Q1,Clay,challenger,3,Henrique Rocha,Pablo Llamas Ruiz,120,139,results,KXATPMATCH-26MAY04LLAROC-ROC,KXATPMATCH-26MAY04LLAROC-LLA,,,,,,,none,927769.35,500407.28,0.00,,,,,matched,completed,Pablo Llamas Ruiz,0,2026-05-05,no
