tourney_name,espn_id,tourney_date,round,playerA,playerB
Winston-Salem Open,363-2026,2026-08-28,SF,Benjamin Bonzi,Ignacio Buse
Winston-Salem Open,363-2026,2026-08-28,SF,Arthur Fery,James Duckworth
US Open,189-2026,2026-08-30,R128,Pablo Carreno Busta,Jiri Lehecka
US Open,189-2026,2026-08-30,R128,J.J. Wolf,Alexander Bublik
US Open,189-2026,2026-08-30,R128,Adrian Mannarino,Thiago Agustin Tirante
US Open,189-2026,2026-08-30,R128,Alexander Shevchenko,Dino Prizmic
US Open,189-2026,2026-08-30,R128,Adam Walton,Wu Yibing
US Open,189-2026,2026-08-30,R128,Jenson Brooksby,Jaime Faria
US Open,189-2026,2026-08-30,R128,Vit Kopriva,Tomas Martin Etcheverry
US Open,189-2026,2026-08-30,R128,Marton Fucsovics,Daniel Merida
US Open,189-2026,2026-08-30,R128,Novak Djokovic,Mariano Navone
US Open,189-2026,2026-08-30,R128,Cameron Norrie,Luca Van Assche
US Open,189-2026,2026-08-30,R128,Denis Shapovalov,Miomir Kecmanovic
US Open,189-2026,2026-08-30,R128,Hamad Medjedovic,Kamil Majchrzak
US Open,189-2026,2026-08-30,R128,Raphael Collignon,Sebastian Gorzny
US Open,189-2026,2026-08-30,R128,Terence Atmane,Jaume Munar
US Open,189-2026,2026-08-30,R128,Arthur Rinderknech,Sho Shimabukuro
US Open,189-2026,2026-08-31,R128,Arthur Fils,Stefanos Tsitsipas
US Open,189-2026,2026-08-31,R128,Lorenzo Sonego,Alexander Zverev
US Open,189-2026,2026-08-31,R128,Alejandro Tabilo,Yannick Hanfmann
US Open,189-2026,2026-08-31,R128,Facundo Diaz Acosta,Quentin Halys
US Open,189-2026,2026-08-31,R128,James Duckworth,Matteo Arnaldi
US Open,189-2026,2026-08-31,R128,Andrey Rublev,Marin Cilic
US Open,189-2026,2026-08-31,R128,Stan Wawrinka,Matteo Berrettini
US Open,189-2026,2026-08-31,R128,Tallon Griekspoor,Ben Shelton
US Open,189-2026,2026-08-31,R128,Hubert Hurkacz,Damir Dzumhur
US Open,189-2026,2026-08-31,R128,Carlos Taberner,Zizou Bergs
US Open,189-2026,2026-08-31,R128,Jan-Lennard Struff,Camilo Ugo Carabelli
US Open,189-2026,2026-08-31,R128,Botic Van De Zandschulp,Jan Choinski
US Open,189-2026,2026-08-31,R128,Rinky Hijikata,Felix Auger-Aliassime
US Open,189-2026,2026-08-31,R128,Lorenzo Musetti,Arthur Fery
US Open,189-2026,2026-08-31,R128,Thanasi Kokkinakis,Rafael Jodar
US Open,189-2026,2026-08-31,R128,Carlos Alcaraz,Roman Safiullin
US Open,189-2026,2026-08-31,R128,Corentin Moutet,Dane Sweeny
US Open,189-2026,2026-08-31,R128,Michael Zheng,Fabian Marozsan
US Open,189-2026,2026-08-31,R128,Casper Ruud,Juan Manuel Cerundolo
US Open,189-2026,2026-08-31,R128,Daniel Altmaier,Zachary Svajda
US Open,189-2026,2026-08-31,R128,Flavio Cobolli,Francisco Comesana
US Open,189-2026,2026-08-31,R128,Gael Monfils,Adolfo Daniel Vallejo
US Open,189-2026,2026-08-31,R128,Darwin Blanch,Taylor Fritz
US Open,189-2026,2026-08-31,R128,Learner Tien,Nuno Borges
US Open,189-2026,2026-08-31,R128,Francisco Cerundolo,Filip Misolic
US Open,189-2026,2026-08-31,R128,Karen Khachanov,Roman Andres Burruchaga
US Open,189-2026,2026-08-31,R128,Ignacio Buse,Marcos Giron
US Open,189-2026,2026-08-31,R128,Benjamin Bonzi,Alex Molcan
US Open,189-2026,2026-08-31,R128,Marco Trungelliti,Shang Juncheng
US Open,189-2026,2026-08-31,R128,Aleksandar Kovacevic,Valentin Vacherot
US Open,189-2026,2026-08-31,R128,Frances Tiafoe,Martin Damm
US Open,189-2026,2026-08-31,R128,Sebastian Baez,Brandon Nakashima
