tourney_name,espn_id,tourney_date,round,playerA,playerB
Abierto GNP Seguros,341-2026,2026-08-29,F,Elise Mertens,Diane Parry
US Open,189-2026,2026-08-30,R128,Barbora Krejcikova,Kamilla Rakhimova
US Open,189-2026,2026-08-30,R128,Polina Iatcenko,Renata Zarazua
US Open,189-2026,2026-08-30,R128,Donna Vekic,Talia Gibson
US Open,189-2026,2026-08-30,R128,Veronika Erjavec,Jasmine Paolini
US Open,189-2026,2026-08-30,R128,Elena-Gabriela Ruse,Jessica Pegula
US Open,189-2026,2026-08-30,R128,Leylah Fernandez,Shuai Zhang
US Open,189-2026,2026-08-30,R128,Xinyu Wang,Emiliana Arango
US Open,189-2026,2026-08-30,R128,Storm Hunter,Marta Kostyuk
US Open,189-2026,2026-08-30,R128,Lanlana Tararudee,Elvina Kalieva
US Open,189-2026,2026-08-30,R128,Dayana Yastremska,Lucrezia Stefanini
US Open,189-2026,2026-08-30,R128,Ekaterina Alexandrova,McCartney Kessler
US Open,189-2026,2026-08-30,R128,Katie Boulter,Carol Young Suh Lee
US Open,189-2026,2026-08-30,R128,Karolina Pliskova,Hanne Vandewinkel
US Open,189-2026,2026-08-30,R128,Alycia Parks,Taylah Preston
US Open,189-2026,2026-08-30,R128,Petra Marcinko,Kimberly Birrell
US Open,189-2026,2026-08-30,R128,Lois Boisson,Emma Navarro
US Open,189-2026,2026-08-30,R128,Solana Sierra,Elina Svitolina
US Open,189-2026,2026-08-30,R128,Sofia Kenin,Venus Williams
US Open,189-2026,2026-08-31,R128,Peyton Stearns,Harriet Dart
US Open,189-2026,2026-08-31,R128,Marie Bouzkova,Elsa Jacquemot
US Open,189-2026,2026-08-31,R128,Kristina Liutova,Qinwen Zheng
US Open,189-2026,2026-08-31,R128,Panna Udvardy,Mananchaya Sawangkaew
US Open,189-2026,2026-08-31,R128,Karolina Muchova,Sinja Kraus
US Open,189-2026,2026-08-31,R128,Cristina Bucsa,Sara Bejlek
US Open,189-2026,2026-08-31,R128,Himeno Sakatsume,Anhelina Kalinina
US Open,189-2026,2026-08-31,R128,Tamara Korpatsch,Lilli Tagger
US Open,189-2026,2026-08-31,R128,Camila Osorio,Aryna Sabalenka
US Open,189-2026,2026-08-31,R128,Oksana Selekhmeteva,Aoi Ito
US Open,189-2026,2026-08-31,R128,Taylor Townsend,Maja Chwalinska
US Open,189-2026,2026-08-31,R128,Simona Waltert,Nadia Podoroska
US Open,189-2026,2026-08-31,R128,Anna Kalinskaya,Anna Blinkova
US Open,189-2026,2026-08-31,R128,Maria Timofeeva,Tamara Zidansek
US Open,189-2026,2026-08-31,R128,Diana Shnaider,Daria Snigur
US Open,189-2026,2026-08-31,R128,Amanda Anisimova,Ashlyn Krueger
US Open,189-2026,2026-08-31,R128,Caty Mcnally,Anouk Koevermans
US Open,189-2026,2026-08-31,R128,Clara Tauson,Sloane Stephens
US Open,189-2026,2026-08-31,R128,Antonia Ruzic,Ann Li
US Open,189-2026,2026-08-31,R128,Linda Noskova,Katie Volynets
US Open,189-2026,2026-08-31,R128,Sorana Cirstea,Julia Grabher
US Open,189-2026,2026-08-31,R128,Diane Parry,Viktorija Golubic
US Open,189-2026,2026-08-31,R128,Katerina Siniakova,Elisabetta Cocciaretto
US Open,189-2026,2026-08-31,R128,Liudmila Samsonova,Maya Joint
US Open,189-2026,2026-08-31,R128,Xiyu Wang,Iga Swiatek
US Open,189-2026,2026-08-31,R128,Anastasia Zakharova,Naomi Osaka
US Open,189-2026,2026-09-01,R128,Robin Montgomery,Maria Sakkari
US Open,189-2026,2026-09-01,R128,Ella Seidel,Yuliia Starodubtseva
US Open,189-2026,2026-09-01,R128,Elise Mertens,Kaitlin Quevedo
US Open,189-2026,2026-09-01,R128,Jessica Bouzas Maneiro,Darja Vidmanova
US Open,189-2026,2026-09-01,R128,Elena Rybakina,Thea Frodin
US Open,189-2026,2026-09-01,R128,Anna Bondar,Lucie Havlickova
US Open,189-2026,2026-09-01,R128,Belinda Bencic,Yulia Putintseva
US Open,189-2026,2026-09-01,R128,Eva Lys,Gabriela Knutson
US Open,189-2026,2026-09-01,R128,Mayar Sherif,Nikola Bartunkova
US Open,189-2026,2026-09-01,R128,Magdalena Frech,Iva Jovic
US Open,189-2026,2026-09-01,R128,Francesca Jones,Magda Linette
US Open,189-2026,2026-09-01,R128,Reese Brantmeier,Oleksandra Oliynykova
US Open,189-2026,2026-09-01,R128,Paula Badosa,Daria Kasatkina
US Open,189-2026,2026-09-01,R128,Jelena Ostapenko,Tatjana Maria
US Open,189-2026,2026-09-01,R128,Leolia Jeanjean,Arantxa Rus
US Open,189-2026,2026-09-01,R128,Tereza Valentova,Anastasia Potapova
US Open,189-2026,2026-09-01,R128,Alina Korneeva,Madison Keys
US Open,189-2026,2026-09-01,R128,Janice Tjen,Mirra Andreeva
US Open,189-2026,2026-09-01,R128,Coco Gauff,Zeynep Sonmez
US Open,189-2026,2026-09-01,R128,Alexandra Eala,Mary Stoiana
