city_key,ioc,query,resolved_name,lat,lon,elevation_m
abu dhabi,UAE,abu dhabi,Abu Dhabi,24.45118,54.39696,6.0
acapulco,MEX,acapulco,Acapulco de Juárez,16.84942,-99.90891,16.0
adelaide,AUS,adelaide,Adelaide,-34.92866,138.59863,59.0
albuquerque,USA,albuquerque,Albuquerque,35.08449,-106.65114,1511.0
almaty,KAZ,almaty,Almaty,43.25249,76.9115,783.0
amelia island,USA,amelia island,Amelia Island,30.61147,-81.4559,8.0
amersfoort,NED,amersfoort,Amersfoort,52.155,5.3875,8.0
amsterdam,NED,amsterdam,Amsterdam,52.37403,4.88969,13.0
antalya,TUR,antalya,Antalya,36.90812,30.69556,61.0
antwerp,BEL,antwerp,Antwerp,51.22047,4.40026,13.0
astana,KAZ,astana,Astana,51.1801,71.44598,358.0
athens,GRE,athens,Athens,37.98376,23.72784,70.0
athens olympics,GRE,Athens,Athens,37.98376,23.72784,70.0
atlanta,USA,atlanta,Atlanta,33.749,-84.38798,320.0
atlanta olympics,USA,Atlanta,Atlanta,33.749,-84.38798,320.0
atp cup,AUS,Sydney,Sydney,-33.86785,151.20732,58.0
auckland,NZL,auckland,Auckland,-36.84853,174.76349,43.0
austin,USA,austin,Austin,30.26715,-97.74306,149.0
australian open,AUS,Melbourne,Melbourne,-37.814,144.96332,25.0
bad gastein,AUT,bad gastein,Bad Gastein,47.11547,13.13467,998.0
bad homburg,GER,bad homburg,Bad Homburg,50.22683,8.61816,186.0
bahia,BRA,Salvador,Salvador,-12.97563,-38.49096,4.0
baku,AZE,baku,Baku,40.37767,49.89201,23.0
bali,INA,bali,Bali,-8.33333,115.0,618.0
bangalore,IND,Bengaluru,Bengaluru,12.97194,77.59369,920.0
bangkok,THA,bangkok,Bangkok,13.75398,100.50144,12.0
banja luka,BIH,banja luka,Banja Luka,44.77879,17.20629,151.0
barcelona,ESP,barcelona,Barcelona,41.38879,2.15899,15.0
barcelona olympics,ESP,Barcelona,Barcelona,41.38879,2.15899,15.0
basel,SUI,basel,Basel,47.55839,7.57327,279.0
bastad,SWE,bastad,Båstad,56.42689,12.85339,14.0
